docId,filename,primary topics, primary appears, secondary topics, secondary appears, tertiary topics, tertiary appears, quaternary topics, quaternary appears
1,null-source,10,0.214,12,0.143,8,0.143,15,0.071
2,null-source,2,0.120,6,0.107,9,0.098,7,0.090
3,null-source,10,0.216,15,0.165,11,0.098,9,0.072
4,null-source,6,0.210,9,0.144,7,0.141,12,0.095
5,null-source,4,0.416,9,0.146,8,0.102,7,0.095
6,null-source,6,0.373,2,0.202,9,0.118,7,0.081
7,null-source,1,0.250,2,0.180,6,0.110,13,0.090
8,null-source,7,0.380,9,0.165,14,0.074,12,0.069
9,null-source,1,0.341,7,0.126,13,0.089,4,0.089
10,null-source,4,0.247,5,0.183,8,0.163,13,0.130
11,null-source,2,0.182,15,0.121,9,0.121,13,0.091
12,null-source,7,0.146,15,0.134,4,0.130,1,0.115
13,null-source,1,0.225,5,0.213,10,0.124,13,0.084
14,null-source,12,0.164,15,0.156,13,0.127,10,0.098
15,null-source,2,0.389,6,0.146,7,0.114,12,0.081
16,null-source,1,0.313,7,0.100,10,0.085,6,0.076
17,null-source,1,0.274,7,0.102,5,0.086,10,0.081
18,null-source,13,0.150,9,0.140,7,0.140,12,0.110
19,null-source,1,0.244,10,0.138,5,0.126,13,0.077
20,null-source,12,0.260,10,0.167,7,0.125,9,0.104
21,null-source,2,0.298,6,0.263,14,0.075,7,0.065
22,null-source,8,0.175,7,0.130,2,0.110,9,0.104
23,null-source,10,0.316,12,0.158,5,0.158,1,0.158
24,null-source,13,0.147,8,0.147,12,0.103,2,0.093
25,null-source,10,0.231,1,0.208,12,0.110,2,0.083
26,null-source,13,0.172,11,0.172,1,0.106,6,0.093
27,null-source,5,0.409,1,0.138,13,0.103,12,0.050
28,null-source,10,0.196,12,0.157,6,0.120,5,0.103
29,null-source,1,0.124,9,0.120,12,0.111,7,0.111
30,null-source,2,0.301,7,0.170,6,0.153,12,0.085
31,null-source,3,0.653,12,0.255,,,,
32,null-source,1,0.360,5,0.200,12,0.120,13,0.080
33,null-source,1,0.320,5,0.240,13,0.120,12,0.080
34,null-source,1,0.200,5,0.180,14,0.100,13,0.100
35,null-source,10,0.231,1,0.192,13,0.154,6,0.115
36,null-source,1,0.627,5,0.086,12,0.073,,
37,null-source,10,0.250,13,0.167,5,0.167,2,0.167
38,null-source,10,0.208,5,0.188,4,0.146,1,0.104
39,null-source,13,0.162,14,0.122,12,0.108,7,0.095
40,null-source,15,0.460,9,0.101,7,0.065,8,0.063
41,null-source,8,0.303,9,0.197,13,0.079,15,0.053
42,null-source,9,0.127,5,0.127,14,0.122,10,0.122
43,null-source,8,0.421,14,0.105,13,0.105,10,0.105
44,null-source,15,0.268,6,0.171,7,0.134,8,0.122
45,null-source,13,0.137,9,0.137,12,0.133,8,0.106
46,null-source,13,0.141,15,0.120,12,0.120,10,0.120
47,null-source,10,0.313,5,0.250,1,0.188,15,0.063
48,null-source,8,0.262,15,0.250,5,0.119,10,0.095
49,null-source,11,0.734,13,0.137,,,,
50,null-source,13,0.302,1,0.209,10,0.186,3,0.070
51,null-source,6,0.116,2,0.107,13,0.099,8,0.099
52,null-source,8,0.527,14,0.141,9,0.060,4,0.050
53,null-source,2,0.266,12,0.125,10,0.109,6,0.109
54,null-source,10,0.357,13,0.143,7,0.143,8,0.071
55,null-source,10,0.188,15,0.125,6,0.125,5,0.125
56,null-source,14,0.385,9,0.123,7,0.092,8,0.091
57,null-source,10,0.269,13,0.205,1,0.090,14,0.077
58,null-source,9,0.154,10,0.151,13,0.108,1,0.087
59,null-source,1,0.264,13,0.236,10,0.104,6,0.104
60,null-source,3,0.663,12,0.235,,,,
